Id	FunctionName	Annotation
hsa00051	Fructose_and_mannose_metabolism	GMPPB
hsa00051	Fructose_and_mannose_metabolism	HK1
hsa00051	Fructose_and_mannose_metabolism	HK2
hsa00051	Fructose_and_mannose_metabolism	HK3
hsa00051	Fructose_and_mannose_metabolism	HKDC1
hsa00051	Fructose_and_mannose_metabolism	KHK
hsa00051	Fructose_and_mannose_metabolism	MPI
hsa00051	Fructose_and_mannose_metabolism	PFKFB2
hsa00051	Fructose_and_mannose_metabolism	PFKFB3
hsa00051	Fructose_and_mannose_metabolism	PFKFB4
hsa00051	Fructose_and_mannose_metabolism	PFKL
hsa00051	Fructose_and_mannose_metabolism	PFKM
hsa00051	Fructose_and_mannose_metabolism	PFKP
hsa00051	Fructose_and_mannose_metabolism	PMM1
hsa00051	Fructose_and_mannose_metabolism	PMM2
hsa00051	Fructose_and_mannose_metabolism	SORD
hsa00051	Fructose_and_mannose_metabolism	TPI1
hsa00051	Fructose_and_mannose_metabolism	TSTA3
hsa00052	Galactose_metabolism	AKR1B1
hsa00052	Galactose_metabolism	AKR1B10
hsa00052	Galactose_metabolism	B4GALT1
hsa00052	Galactose_metabolism	B4GALT2
hsa00052	Galactose_metabolism	G6PC
hsa00052	Galactose_metabolism	G6PC2
hsa00052	Galactose_metabolism	G6PC3
hsa00052	Galactose_metabolism	GAA
hsa00052	Galactose_metabolism	GALE
hsa00052	Galactose_metabolism	GALK1
hsa00052	Galactose_metabolism	GALM
hsa00052	Galactose_metabolism	GALT
hsa00052	Galactose_metabolism	GANC
hsa00052	Galactose_metabolism	GCK
hsa00052	Galactose_metabolism	GLB1
hsa00052	Galactose_metabolism	HK1
hsa00052	Galactose_metabolism	HK2
hsa00052	Galactose_metabolism	HK3
hsa00052	Galactose_metabolism	HKDC1
hsa00052	Galactose_metabolism	LALBA
hsa00052	Galactose_metabolism	LCT
hsa00052	Galactose_metabolism	MGAM
hsa00052	Galactose_metabolism	PFKL
hsa00052	Galactose_metabolism	PFKM
hsa00052	Galactose_metabolism	PFKP
hsa00052	Galactose_metabolism	PGM1
hsa00052	Galactose_metabolism	PGM2
hsa00052	Galactose_metabolism	RP11-1220K2.2
hsa00052	Galactose_metabolism	SI
hsa00052	Galactose_metabolism	UGP2
hsa00053	Ascorbate_and_aldarate_metabolism	ALDH1B1
hsa00053	Ascorbate_and_aldarate_metabolism	ALDH2
hsa00053	Ascorbate_and_aldarate_metabolism	ALDH3A2
hsa00053	Ascorbate_and_aldarate_metabolism	ALDH7A1
hsa00053	Ascorbate_and_aldarate_metabolism	ALDH9A1
hsa00053	Ascorbate_and_aldarate_metabolism	MIOX
hsa00053	Ascorbate_and_aldarate_metabolism	UGDH
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2A3
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B10
hsa00053	Ascorbate_and_aldarate_metabolism	UGT2B11
