Ensembl Gene ID	interactions information
ENSG00000010810	16987982-siv-ssRNART,9778343-hiv1-ssRNART,
ENSG00000010818	2022670-dna-hiv1-ssRNART,
ENSG00000011275	15367624-hiv1-ssRNART,
ENSG00000012048	15983032-hpv-dsDNA,
ENSG00000012223	16301665-hiv1-ssRNART,11697537,
ENSG00000012504	16038965-hpv-dsDNA,
ENSG00000013364	21994455-influenza-ssRNA,
ENSG00000013573	17189189-hpv-dsDNA,
ENSG00000013810	22258240-chikv-ssRNA,
ENSG00000014216	19022302-hiv1-ssRNART,17977825-hpv-dsDNA,
ENSG00000015133	23045287-htlv-ssRNART,
ENSG00000015171	12181323-ebv-dsDNA,20138174-ebv-dsDNA,
ENSG00000015475	22685405-hhv8-dsDNA,18329683-asfv-dsDNA,
ENSG00000015479	21771347-rna-hiv1-ssRNART,
ENSG00000015520	22231557-hcv-ssRNA,
ENSG00000018189	16038965-hpv-dsDNA,
ENSG00000018408	15507652-polyomavirus-dsDNA,
ENSG00000019169	23739639-hsv-dsDNA,
ENSG00000019582	17959659-hiv1-ssRNART,
ENSG00000020426	21994455-influenza-ssRNA,
ENSG00000020922	17898048-dna-adv-ssDNA,
ENSG00000021355	16038965-hpv-dsDNA,
ENSG00000022267	23616667-htlv-ssRNART,
ENSG00000022840	21424732-hsv-dsDNA,
ENSG00000023445	21865390-hbv-dsDNART,
ENSG00000025434	18782084-hbv-dsDNART,
ENSG00000025800	22275867-influenza-ssRNA,17928350-ebov-ssRNA,
ENSG00000026025	23576498-fmdv-ssRNA,1726101-hiv1-ssRNART,
ENSG00000026103	11022001-hcv-ssRNA,
ENSG00000026508	21482826-hiv1-ssRNART,
ENSG00000027075	12829844-mvm-ssDNA,
ENSG00000028116	16963744-ebv-dsDNA,
ENSG00000028277	15831936-dna-ebv-dsDNA,
ENSG00000029363	22645331-hcmv-dsDNA,
ENSG00000030110	22013032,21439939-mghv-dsDNA,21203485-ebv-dsDNA,21159883-deerpoxvirus-dsDNA,19955184-vacv-dsDNA,16439990-vacv-dsDNA,
ENSG00000030582	15653695-hiv1-ssRNART,10079180-hiv1-hiv2-ssRNART,
ENSG00000033800	19557165-ebov-ssRNA,15229220-ebv-dsDNA,
ENSG00000035403	12119179-hiv1-ssRNART,
ENSG00000035928	20573815-hsv-dsDNA,23365439-hpv-dsDNA,
ENSG00000036257	18221766-poxvirus-dsDNA,22232672-hpv-dsDNA,
ENSG00000038945	23717201-rna-hcv-ssRNA,
ENSG00000039068	16222116-hpv-dsDNA,
ENSG00000040341	24520823-hiv1-ssRNART,
ENSG00000040608	24922571-reovirus-dsRNA,
ENSG00000041357	15303969-hcv-ssRNA,
ENSG00000041982	24145401-hiv1-ssRNART,
ENSG00000042286	22871131-hbv-dsDNART,
ENSG00000043462	22323535-hiv1-ssRNART,
ENSG00000044090	16140746-sv40-dsDNA,
ENSG00000044446	1872871-hiv1-ssRNART,
ENSG00000044574	20668084-prrsv-ssRNA,12552023-hbv-dsDNART,
ENSG00000046604	22457526-adv-dsDNA,21151137-adv-dsDNA,
ENSG00000046653	23284715-hiv1-ssRNART,
ENSG00000047249	12058068-hiv1-ssRNART,
ENSG00000047849	7645249-poliovirus-ssRNA,
ENSG00000047932	16878151-hpv-dsDNA,
ENSG00000048052	15194749-hsv-dsDNA,
ENSG00000048649	11788598-hbv-dsDNART,12401801-hcv-ssRNA,
ENSG00000049245	25209806-hhv6-dsDNA,
ENSG00000049449	18971280-adv-ssDNA,
ENSG00000051180	17090598-hiv1-ssRNART,19386720-ebv-dsDNA,
ENSG00000051382	14709551-hcv-ssRNA,
ENSG00000054219	17229838-hiv1-ssRNART,
ENSG00000055130	18667692-poxvirus-dsDNA,20211013-myxv-dsDNA,19679664-adv-dsDNA,15113913-hpv-dsDNA,
ENSG00000055208	20875659-htlv-ssRNART,
ENSG00000055332	23853588,23148689,23115300,19635730,17267064,16516925,16466763,15737233,14997533,12810919,12368348,12101093,12060652,11773402,11447114,11337501,11152499,9792841,19043413,
ENSG00000056558	9566902-ebv-dsDNA,
ENSG00000057593	23804638-adv-dsDNA,
ENSG00000057663	20580051-hcv-ssRNA,
ENSG00000058262	21987770-ebov-ssRNA,
ENSG00000059588	1936997-hiv1-ssRNART,
ENSG00000060069	15723517-hiv1-ssRNART,
ENSG00000061273	15194749-hsv-dsDNA,
ENSG00000062650	15383329-ebv-dsDNA,
ENSG00000062725	12915535-hsv-dsDNA,
ENSG00000062822	16537587-hiv1-ssRNART,
ENSG00000063046	11836388-rna-poliovirus-ssRNA,
ENSG00000063177	26092250-denv-ssRNA,
ENSG00000063245	18375383-hiv1-ssRNART,
ENSG00000063978	23504328-ebv-dsDNA,
ENSG00000064012	9488717-adv-dsDNA,11991998-lgtv-ssRNA,
ENSG00000064300	9857182-rabiesvirus-ssRNA,
ENSG00000064313	9820841-hpv-dsDNA,
ENSG00000064393	22110707,
ENSG00000064419	22872640-hiv1-ssRNART,
ENSG00000064703	22174681-ebv-dsDNA,
ENSG00000064995	9820841-hpv-dsDNA,
ENSG00000065000	22705971-hiv1-ssRNART,15766529-hiv1-ssRNART,
ENSG00000065150	15507604-hpv-dsDNA,
ENSG00000065243	15364941-hcv-ssRNA,
ENSG00000065427	23264568-hiv1-ssRNART,
ENSG00000065526	16129689-ebv-dsDNA,
ENSG00000065559	15247271-kshv-dsDNA,
ENSG00000065675	8663223-hiv1-ssRNART,
ENSG00000065717	19939918-kshv-dsDNA,
ENSG00000065883	18480452-hiv1-ssRNART,
ENSG00000065978	11907223-jcv-dsDNA,23986595-hcv-ssRNA,
ENSG00000066044	18544151-hiv1-ssRNART,21729330-rna-csfv-ssRNA,
ENSG00000067066	21880768-hcmv-dsDNA,16177824-ebv-dsDNA,
ENSG00000067177	1872871-hiv1-ssRNA,
ENSG00000067182	11336543-hcv-ssRNA,
ENSG00000067225	18519040-hcv-dsDNA,
ENSG00000067248	24821782,
ENSG00000067369	19656881-ebv-dsDNA,
ENSG00000067560	10438814-rsv-ssRNA,
ENSG00000068001	11296287-jsrv-ssRNART,
ENSG00000068024	20719946-dna,17159145-ebv-dsDNA,
ENSG00000068079	18305040-bfv-ssRNART,
ENSG00000069011	12620797-hcv-ssRNA,
ENSG00000069275	25116364-hiv1-ssRNART,
ENSG00000069329	25393110-hiv1-ssRNART,
ENSG00000069702	14645569-hpv-dsDNA,
ENSG00000069869	18353951-hsv-dsDNA,
ENSG00000069966	16135253-hbv-dsDNART,
ENSG00000069974	21170347-hcmv-dsDNA,
ENSG00000070159	17166906-hpv-dsDNA,17947517-hpv-dsDNA,
ENSG00000070756	23077296-kshv-dsDNA,
ENSG00000070770	11827166-hiv1-ssRNART,
ENSG00000070785	10900014-rna-hcv-ssRNA,
ENSG00000070831	14530271-htlv-ssRNART,
ENSG00000070950	12016221-hiv1-ssRNART,
ENSG00000071794	7876228-dna-sv40-dsDNA-hiv1-ssRNART,
ENSG00000072062	9742109-aav-ssDNA,
ENSG00000072110	1991513-hiv1-ssRNART,
ENSG00000072201	15367597,
ENSG00000072274	20200243-parvovirus-ssDNA,
ENSG00000072364	23251033-dna-hiv1-ssRNART,
ENSG00000072401	22438555-hsv-dsDNA,
ENSG00000072415	20861307-sarscov-ssRNA,
ENSG00000072736	22749879-jcv-dsDNA,
ENSG00000072803	15611062-sv40-dsDNA,
ENSG00000072958	22301137-hiv1-ssRNART,9882340-hiv1-ssRNART,
ENSG00000073008	7546663-plv-ssRNA,
ENSG00000073009	18266467-vacv-dsDNA,12890756-kshv-dsDNA,
ENSG00000073050	12198176-hpv-dsDNA,
ENSG00000073060	22767607-hcv-ssRNA,12356718-hcv-ssRNA,
ENSG00000073111	22768239-flv-ssRNART,17932485-influenza-ssRNA,
ENSG00000073282	7941331-ebv-dsDNA,
ENSG00000073584	17669635-dna-hbv-dsDNART,15140983-hsv-dsDNA,
ENSG00000073756	16157265-sarscov-ssRNA,
ENSG00000074047	11160733-hiv1-ssRNART,
ENSG00000074181	21191019-bhv-dsDNA,
ENSG00000074266	18302803-hiv1-ssRNART,17547741-hiv1-ssRNART,9880543-hiv1-ssRNART,
ENSG00000074319	23077308-hsv-dsDNA,11595185-hiv1-ssRNART,
ENSG00000074660	20338659-hcv-ssRNA,
ENSG00000074695	24237698-arenavirus-ssRNA,
ENSG00000074696	18160438-hcv-ssRNA,
ENSG00000074800	20953506-hcv-ssRNA,
ENSG00000075131	23325691-dna-kshv-dsDNA,
ENSG00000075142	23764275-fmdv-ssRNA,
ENSG00000075391	18985028-hcv-ssRNA,
ENSG00000075624	7535922-hiv1-ssRNART,9971805-influenza-ssRNA,
ENSG00000075711	24788832-adv-dsDNA,16103886-hpv-dsDNA,
ENSG00000075785	18032515-mlv-ssRNART,
ENSG00000075856	11959860-hiv1-ssRNART,
ENSG00000076201	19403673-hiv1-ssRNART,
ENSG00000076242	21957315-dna-hsv-dsDNA,
ENSG00000076248	23696735-dna-hbv-dsDNART,
ENSG00000076554	22571704-ndv-ssRNA,19637933-vacv-dsDNA,
ENSG00000076662	12609975-hcv-ssRNA,
ENSG00000076984	15247271-kshv-dsDNA,
ENSG00000077092	7565739-adv-dsDNA,
ENSG00000077150	17715223-htlv-ssRNART,
ENSG00000077232	18829746-ndv-ssRNA,
ENSG00000077264	23622267-htlv-ssRNART,
ENSG00000077312	21298455-yfv-ssRNA,12692219-rna-hpv-dsDNA,
ENSG00000077782	9883842-aav-ssDNA,
ENSG00000077942	12200142-hpv-dsDNA,
ENSG00000078018	1494913-hiv1-ssRNART,
ENSG00000078043	15582666-hpv-dsDNA,16460827-ebv-dsDNA,
ENSG00000078081	18032515-mlv-ssRNART,
ENSG00000078098	21856036-hiv1-ssRNART,
ENSG00000078142	21835792-hcv-ssRNA,
ENSG00000078668	11604508-hbv-dsDNART,
