id	name	feature
vip:0000005	EBV	FILIP1L
vip:0000005	EBV	FKBP15
vip:0000005	EBV	FKBP9
vip:0000005	EBV	FNDC3B
vip:0000005	EBV	FOXF1
vip:0000005	EBV	FTH1
vip:0000005	EBV	FZD6
vip:0000005	EBV	GALNT5
vip:0000005	EBV	GBAS
vip:0000005	EBV	GCN1L1
vip:0000005	EBV	GET4
vip:0000005	EBV	GFPT1
vip:0000005	EBV	GGCX
vip:0000005	EBV	GGT7
vip:0000005	EBV	GIF
vip:0000005	EBV	GJA1
vip:0000005	EBV	GLG1
vip:0000005	EBV	GLIPR1
vip:0000005	EBV	GLIPR2
vip:0000005	EBV	GLUD1
vip:0000005	EBV	GNG2
vip:0000005	EBV	GNPTAB
vip:0000005	EBV	GNPTG
vip:0000005	EBV	GNS
vip:0000005	EBV	GPD2
vip:0000005	EBV	GREM1
vip:0000005	EBV	GRPEL1
vip:0000005	EBV	GTF2H1
vip:0000005	EBV	H1FX
vip:0000005	EBV	HDAC4
vip:0000005	EBV	HDGFRP2
vip:0000005	EBV	HDLBP
vip:0000005	EBV	HIST1H1D
vip:0000005	EBV	HIST2H2BF
vip:0000005	EBV	HM13
vip:0000005	EBV	HMGA2
vip:0000005	EBV	HMOX2
vip:0000005	EBV	HNRNPA0
vip:0000005	EBV	HNRNPAB
vip:0000005	EBV	HNRNPCL1
vip:0000005	EBV	HNRNPD
vip:0000005	EBV	HNRNPR
vip:0000005	EBV	HNRNPU
vip:0000005	EBV	HP1BP3
vip:0000005	EBV	HPS6
vip:0000005	EBV	HSDL1
vip:0000005	EBV	HSF1
vip:0000005	EBV	HSP90AA1
vip:0000005	EBV	HSPA1A
vip:0000005	EBV	HSPA1B
vip:0000005	EBV	HSPA8
vip:0000005	EBV	HSPB8
vip:0000005	EBV	HTT
vip:0000005	EBV	IARS
vip:0000005	EBV	ICMT
vip:0000005	EBV	ID1
vip:0000005	EBV	IDH3A
vip:0000005	EBV	IDH3B
vip:0000005	EBV	IFITM1
vip:0000005	EBV	IFNGR1
vip:0000005	EBV	IGF2BP2
vip:0000005	EBV	IGF2BP3
vip:0000005	EBV	IGF2R
vip:0000005	EBV	IGFBP4
vip:0000005	EBV	IKBIP
vip:0000005	EBV	IKZF1
vip:0000005	EBV	IMMT
vip:0000005	EBV	INF2
vip:0000005	EBV	ING4
vip:0000005	EBV	ING5
vip:0000005	EBV	IPO9
vip:0000005	EBV	IQGAP2
vip:0000005	EBV	IRF1
vip:0000005	EBV	IRF2
vip:0000005	EBV	IRF7
vip:0000005	EBV	ITCH
vip:0000005	EBV	ITFG1
vip:0000005	EBV	ITIH3
vip:0000005	EBV	ITM2C
vip:0000005	EBV	ITSN1
vip:0000005	EBV	IWS1
vip:0000005	EBV	JAK3
vip:0000005	EBV	JDP2
vip:0000005	EBV	KANK2
vip:0000005	EBV	KCNH6
vip:0000005	EBV	KCTD12
vip:0000005	EBV	KDM1A
vip:0000005	EBV	KDSR
vip:0000005	EBV	KIAA0247
vip:0000005	EBV	KIAA1462
vip:0000005	EBV	KIAA1598
vip:0000005	EBV	KIDINS220
vip:0000005	EBV	KIF1B
vip:0000005	EBV	KIRREL
vip:0000005	EBV	LAMA3
vip:0000005	EBV	LAMC1
vip:0000005	EBV	LAMTOR1
vip:0000005	EBV	LAPTM4A
vip:0000005	EBV	LAYN
vip:0000005	EBV	LDHA
vip:0000005	EBV	LDHB
vip:0000005	EBV	LEMD3
vip:0000005	EBV	LEPRE1
vip:0000005	EBV	LGALS3BP
vip:0000005	EBV	LGALS9
vip:0000005	EBV	LIFR
vip:0000005	EBV	LLGL1
vip:0000005	EBV	LMO7
vip:0000005	EBV	LMOD1
vip:0000005	EBV	LOX
vip:0000005	EBV	LPP
