Id	Annotation	FunctionName
hsa00071	ACSL1	Fatty_acid_degradation
hsa00071	ACSL3	Fatty_acid_degradation
hsa00071	ACSL5	Fatty_acid_degradation
hsa00071	ACSL6	Fatty_acid_degradation
hsa00071	ADH1A	Fatty_acid_degradation
hsa00071	ADH1B	Fatty_acid_degradation
hsa00071	ADH4	Fatty_acid_degradation
hsa00071	ADH5	Fatty_acid_degradation
hsa00071	ADH6	Fatty_acid_degradation
hsa00071	ADH7	Fatty_acid_degradation
hsa00071	ALDH1B1	Fatty_acid_degradation
hsa00071	ALDH2	Fatty_acid_degradation
hsa00071	ALDH3A2	Fatty_acid_degradation
hsa00071	ALDH7A1	Fatty_acid_degradation
hsa00071	ALDH9A1	Fatty_acid_degradation
hsa00071	CPT1A	Fatty_acid_degradation
hsa00071	CPT1B	Fatty_acid_degradation
hsa00071	CPT1C	Fatty_acid_degradation
hsa00071	CPT2	Fatty_acid_degradation
hsa00071	CYP4A11	Fatty_acid_degradation
hsa00071	CYP4A22	Fatty_acid_degradation
hsa00071	ECHS1	Fatty_acid_degradation
hsa00071	ECI1	Fatty_acid_degradation
hsa00071	ECI2	Fatty_acid_degradation
hsa00071	EHHADH	Fatty_acid_degradation
hsa00071	GCDH	Fatty_acid_degradation
hsa00071	HADH	Fatty_acid_degradation
hsa00071	HADHA	Fatty_acid_degradation
hsa00071	HADHB	Fatty_acid_degradation
hsa00072	ACAT1	Synthesis_and_degradation_of_ketone_bodies
hsa00072	ACAT2	Synthesis_and_degradation_of_ketone_bodies
hsa00072	BDH1	Synthesis_and_degradation_of_ketone_bodies
hsa00072	BDH2	Synthesis_and_degradation_of_ketone_bodies
hsa00072	HMGCL	Synthesis_and_degradation_of_ketone_bodies
hsa00072	HMGCLL1	Synthesis_and_degradation_of_ketone_bodies
hsa00072	HMGCS1	Synthesis_and_degradation_of_ketone_bodies
hsa00072	HMGCS2	Synthesis_and_degradation_of_ketone_bodies
hsa00072	OXCT1	Synthesis_and_degradation_of_ketone_bodies
hsa00072	OXCT2	Synthesis_and_degradation_of_ketone_bodies
hsa00100	CEL	Steroid_biosynthesis
hsa00100	CYP24A1	Steroid_biosynthesis
hsa00100	CYP27B1	Steroid_biosynthesis
hsa00100	CYP2R1	Steroid_biosynthesis
hsa00100	CYP51A1	Steroid_biosynthesis
hsa00100	DHCR24	Steroid_biosynthesis
hsa00100	DHCR7	Steroid_biosynthesis
hsa00100	FDFT1	Steroid_biosynthesis
hsa00100	HSD17B7	Steroid_biosynthesis
hsa00100	LBR	Steroid_biosynthesis
hsa00100	LIPA	Steroid_biosynthesis
hsa00100	LSS	Steroid_biosynthesis
hsa00100	MSMO1	Steroid_biosynthesis
hsa00100	SC5D	Steroid_biosynthesis
hsa00100	SOAT1	Steroid_biosynthesis
hsa00100	SOAT2	Steroid_biosynthesis
hsa00100	SQLE	Steroid_biosynthesis
hsa00100	TM7SF2	Steroid_biosynthesis
hsa00120	ACOT8	Primary_bile_acid_biosynthesis
hsa00120	ACOX2	Primary_bile_acid_biosynthesis
hsa00120	AKR1C4	Primary_bile_acid_biosynthesis
hsa00120	AKR1D1	Primary_bile_acid_biosynthesis
hsa00120	AMACR	Primary_bile_acid_biosynthesis
hsa00120	BAAT	Primary_bile_acid_biosynthesis
hsa00120	CH25H	Primary_bile_acid_biosynthesis
hsa00120	CYP27A1	Primary_bile_acid_biosynthesis
hsa00120	CYP39A1	Primary_bile_acid_biosynthesis
hsa00120	CYP46A1	Primary_bile_acid_biosynthesis
hsa00120	CYP7A1	Primary_bile_acid_biosynthesis
hsa00120	CYP7B1	Primary_bile_acid_biosynthesis
hsa00120	CYP8B1	Primary_bile_acid_biosynthesis
hsa00120	HSD17B4	Primary_bile_acid_biosynthesis
hsa00120	HSD3B7	Primary_bile_acid_biosynthesis
hsa00120	SCP2	Primary_bile_acid_biosynthesis
hsa00120	SLC27A5	Primary_bile_acid_biosynthesis
hsa00130	COQ2	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	COQ3	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	COQ5	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	COQ6	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	COQ7	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	GGCX	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	HPD	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	NQO1	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	TAT	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	VKORC1	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00130	VKORC1L1	Ubiquinone_and_other_terpenoid-quinone_biosynthesis
hsa00140	AKR1C1	Steroid_hormone_biosynthesis
hsa00140	AKR1C2	Steroid_hormone_biosynthesis
hsa00140	AKR1C3	Steroid_hormone_biosynthesis
hsa00140	AKR1C4	Steroid_hormone_biosynthesis
hsa00140	AKR1D1	Steroid_hormone_biosynthesis
hsa00140	COMT	Steroid_hormone_biosynthesis
hsa00140	CYP11A1	Steroid_hormone_biosynthesis
hsa00140	CYP11B1	Steroid_hormone_biosynthesis
hsa00140	CYP11B2	Steroid_hormone_biosynthesis
hsa00140	CYP17A1	Steroid_hormone_biosynthesis
hsa00140	CYP19A1	Steroid_hormone_biosynthesis
hsa00140	CYP1A1	Steroid_hormone_biosynthesis
hsa00140	CYP1A2	Steroid_hormone_biosynthesis
hsa00140	CYP1B1	Steroid_hormone_biosynthesis
hsa00140	CYP21A2	Steroid_hormone_biosynthesis
hsa00140	CYP2E1	Steroid_hormone_biosynthesis
hsa00140	CYP3A4	Steroid_hormone_biosynthesis
hsa00140	CYP3A5	Steroid_hormone_biosynthesis
hsa00140	CYP3A7	Steroid_hormone_biosynthesis
hsa00140	CYP7A1	Steroid_hormone_biosynthesis
hsa00140	CYP7B1	Steroid_hormone_biosynthesis
hsa00140	HSD11B1	Steroid_hormone_biosynthesis
hsa00140	HSD11B1L	Steroid_hormone_biosynthesis
hsa00140	HSD11B2	Steroid_hormone_biosynthesis
hsa00140	HSD17B1	Steroid_hormone_biosynthesis
hsa00140	HSD17B12	Steroid_hormone_biosynthesis
hsa00140	HSD17B2	Steroid_hormone_biosynthesis
hsa00140	HSD17B3	Steroid_hormone_biosynthesis
hsa00140	HSD17B6	Steroid_hormone_biosynthesis
hsa00140	HSD17B7	Steroid_hormone_biosynthesis
hsa00140	HSD17B8	Steroid_hormone_biosynthesis
hsa00140	HSD3B1	Steroid_hormone_biosynthesis
hsa00140	HSD3B2	Steroid_hormone_biosynthesis
hsa00140	LRTOMT	Steroid_hormone_biosynthesis
hsa00140	SRD5A1	Steroid_hormone_biosynthesis
hsa00140	SRD5A3	Steroid_hormone_biosynthesis
hsa00140	SULT1E1	Steroid_hormone_biosynthesis
hsa00140	SULT2B1	Steroid_hormone_biosynthesis
hsa00140	UGT2A3	Steroid_hormone_biosynthesis
hsa00140	UGT2B10	Steroid_hormone_biosynthesis
hsa00140	UGT2B11	Steroid_hormone_biosynthesis
hsa00140	UGT2B15	Steroid_hormone_biosynthesis
hsa00140	UGT2B17	Steroid_hormone_biosynthesis
hsa00140	UGT2B28	Steroid_hormone_biosynthesis
hsa00140	UGT2B4	Steroid_hormone_biosynthesis
hsa00140	UGT2B7	Steroid_hormone_biosynthesis
hsa00190	ATP12A	Oxidative_phosphorylation
hsa00190	ATP4A	Oxidative_phosphorylation
hsa00190	ATP4B	Oxidative_phosphorylation
hsa00190	ATP5A1	Oxidative_phosphorylation
hsa00190	ATP5B	Oxidative_phosphorylation
hsa00190	ATP5C1	Oxidative_phosphorylation
hsa00190	ATP5D	Oxidative_phosphorylation
hsa00190	ATP5E	Oxidative_phosphorylation
hsa00190	ATP5F1	Oxidative_phosphorylation
hsa00190	ATP5G1	Oxidative_phosphorylation
hsa00190	ATP5G2	Oxidative_phosphorylation
hsa00190	ATP5G3	Oxidative_phosphorylation
hsa00190	ATP5H	Oxidative_phosphorylation
hsa00190	ATP5I	Oxidative_phosphorylation
hsa00190	ATP5J	Oxidative_phosphorylation
hsa00190	ATP5J2	Oxidative_phosphorylation
hsa00190	ATP5L	Oxidative_phosphorylation
hsa00190	ATP5O	Oxidative_phosphorylation
hsa00190	ATP6V0A1	Oxidative_phosphorylation
hsa00190	ATP6V0A2	Oxidative_phosphorylation
hsa00190	ATP6V0A4	Oxidative_phosphorylation
hsa00190	ATP6V0B	Oxidative_phosphorylation
hsa00190	ATP6V0C	Oxidative_phosphorylation
hsa00190	ATP6V0D1	Oxidative_phosphorylation
hsa00190	ATP6V0D2	Oxidative_phosphorylation
hsa00190	ATP6V0E1	Oxidative_phosphorylation
hsa00190	ATP6V0E2	Oxidative_phosphorylation
hsa00190	ATP6V1A	Oxidative_phosphorylation
hsa00190	ATP6V1B1	Oxidative_phosphorylation
hsa00190	ATP6V1B2	Oxidative_phosphorylation
hsa00190	ATP6V1C1	Oxidative_phosphorylation
hsa00190	ATP6V1C2	Oxidative_phosphorylation
